Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Leslyn,Lewis,Haldimand—Norfolk,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Ron,Liepert,Calgary Signal Hill,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Joël,Lightbound,Louis-Hébert,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Dane,Lloyd,Sturgeon River—Parkland,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Ben,Lobb,Huron—Bruce,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Wayne,Long,Saint John—Rothesay,New Brunswick,Liberal,2021-09-20 12:00:00 a.m.,
,Lloyd,Longfield,Guelph,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Tim,Louis,Kitchener—Conestoga,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Lawrence,MacAulay,Cardigan,Prince Edward Island,Liberal,2021-09-20 12:00:00 a.m.,
,Heath,MacDonald,Malpeque,Prince Edward Island,Liberal,2021-09-20 12:00:00 a.m.,
,Alistair,MacGregor,Cowichan—Malahat—Langford,British Columbia,NDP,2021-09-20 12:00:00 a.m.,
Hon.,Steven,MacKinnon,Gatineau,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Larry,Maguire,Brandon—Souris,Manitoba,Conservative,2021-09-20 12:00:00 a.m.,
,Shuvaloy,Majumdar,Calgary Heritage,Alberta,Conservative,2023-07-24 12:00:00 a.m.,
,James,Maloney,Etobicoke—Lakeshore,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Richard,Martel,Chicoutimi—Le Fjord,Quebec,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Soraya Martinez,Ferrada,Hochelaga,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Brian,Masse,Windsor West,Ontario,NDP,2021-09-20 12:00:00 a.m.,
,Lindsay,Mathyssen,London—Fanshawe,Ontario,NDP,2021-09-20 12:00:00 a.m.,
,Bryan,May,Cambridge,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Elizabeth,May,Saanich—Gulf Islands,British Columbia,Green Party,2021-09-20 12:00:00 a.m.,
,Dan,Mazier,Dauphin—Swan River—Neepawa,Manitoba,Conservative,2021-09-20 12:00:00 a.m.,
,Kelly,McCauley,Edmonton West,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Ken,McDonald,Avalon,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,David J.,McGuinty,Ottawa South,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,John,McKay,Scarborough—Guildwood,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Ron,McKinnon,Coquitlam—Port Coquitlam,British Columbia,Liberal,2021-09-20 12:00:00 a.m.,
,Greg,McLean,Calgary Centre,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Michael V.,McLeod,Northwest Territories,Northwest Territories,Liberal,2021-09-20 12:00:00 a.m.,
,Heather,McPherson,Edmonton Strathcona,Alberta,NDP,2021-09-20 12:00:00 a.m.,
,Eric,Melillo,Kenora,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Alexandra,Mendès,Brossard—Saint-Lambert,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Marco,Mendicino,Eglinton—Lawrence,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Wilson,Miao,Richmond Centre,British Columbia,Liberal,2021-09-20 12:00:00 a.m.,
,Kristina,Michaud,Avignon—La Mitis—Matane—Matapédia,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
Hon.,Marc,Miller,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Rob,Moore,Fundy Royal,New Brunswick,Conservative,2021-09-20 12:00:00 a.m.,
,Marty,Morantz,Charleswood—St. James—Assiniboia—Headingley,Manitoba,Conservative,2021-09-20 12:00:00 a.m.,
,Mike,Morrice,Kitchener Centre,Ontario,Green Party,2021-09-20 12:00:00 a.m.,
,Rob,Morrison,Kootenay—Columbia,British Columbia,Conservative,2021-09-20 12:00:00 a.m.,
,Robert J.,Morrissey,Egmont,Prince Edward Island,Liberal,2021-09-20 12:00:00 a.m.,
,Glen,Motz,Medicine Hat—Cardston—Warner,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Joyce,Murray,Vancouver Quadra,British Columbia,Liberal,2021-09-20 12:00:00 a.m.,
,Dan,Muys,Flamborough—Glanbrook,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Yasir,Naqvi,Ottawa Centre,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,John,Nater,Perth—Wellington,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Mary,Ng,Markham—Thornhill,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Taleeb,Noormohamed,Vancouver Granville,British Columbia,Liberal,2021-09-20 12:00:00 a.m.,
,Christine,Normandin,Saint-Jean,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Jennifer,O'Connell,Pickering—Uxbridge,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Seamus,O'Regan,St. John's South—Mount Pearl,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 a.m.,
